Time (sec)	¥ÄZ/Z0 (%)	¥ÄZ/Z0 (%) with a smoothing filter
47.666	-0.09414	-0.47761
47.765	-0.09393	-0.47697
47.865	-0.09302	-0.47633
47.964	-0.0913	-0.47569
48.063	-0.08905	-0.47505
48.163	-0.08644	-0.47441
48.262	-0.08424	-0.47376
48.361	-0.08236	-0.47312
48.46	-0.08086	-0.47248
48.56	-0.07858	-0.47184
48.659	-0.07551	-0.4712
48.758	-0.07258	-0.47056
48.858	-0.07034	-0.46992
48.957	-0.06976	-0.46928
49.056	-0.07043	-0.46864
49.156	-0.07229	-0.468
49.255	-0.0742	-0.46737
49.354	-0.07533	-0.46673
49.453	-0.07683	-0.46609
49.553	-0.07829	-0.46545
49.652	-0.08013	-0.46481
49.751	-0.08193	-0.46417
49.851	-0.08214	-0.46353
49.95	-0.07858	-0.4629
50.049	-0.07216	-0.46226
50.149	-0.06438	-0.46162
50.248	-0.0552	-0.46098
50.347	-0.04723	-0.46034
50.446	-0.03954	-0.45971
50.546	-0.03132	-0.45907
50.645	-0.02289	-0.45843
50.744	-0.01441	-0.4578
50.844	-0.00612	-0.45716
50.943	0.00171	-0.45652
51.042	0.00763	-0.45589
51.142	0.01215	-0.45525
51.241	0.01528	-0.45462
51.34	0.01698	-0.45398
51.44	0.0179	-0.45334
51.539	0.01844	-0.45271
51.638	0.01888	-0.45207
51.737	0.0193	-0.45144
51.837	0.01996	-0.4508
51.936	0.02049	-0.45017
52.035	0.02564	-0.44953
52.135	0.02891	-0.4489
52.234	0.03124	-0.44827
52.333	0.03238	-0.44763
52.433	0.03277	-0.447
52.532	0.03309	-0.44636
52.631	0.03249	-0.44573
52.73	0.03138	-0.4451
52.83	0.03108	-0.44446
52.929	0.03147	-0.44383
53.028	0.033	-0.4432
53.128	0.03552	-0.44257
53.227	0.03902	-0.44193
53.326	0.04247	-0.4413
53.426	0.04639	-0.44067
53.525	0.05076	-0.44004
53.624	0.05505	-0.43941
53.723	0.06023	-0.43877
53.823	0.06595	-0.43814
53.922	0.0718	-0.43751
54.021	0.07675	-0.43688
54.121	0.08089	-0.43625
54.22	0.08376	-0.43562
54.319	0.08552	-0.43499
54.419	0.08633	-0.43436
54.518	0.0861	-0.43373
